pair_name,branch,branch_cn,score,score_cn,coverage,accuracy_gain_vs_full_BayesMMRL,accuracy_gain_vs_full_MMRL,full_accuracy_BayesMMRL,full_accuracy_MMRL,rejected_error_rate_BayesMMRL,rejected_error_rate_MMRL,retained_accuracy_BayesMMRL,retained_accuracy_MMRL,retained_error_rate_BayesMMRL,retained_error_rate_MMRL,delta_full_accuracy_Bayes_minus_MMRL,delta_retained_accuracy_Bayes_minus_MMRL,delta_accuracy_gain_vs_full_Bayes_minus_MMRL,delta_retained_error_rate_Bayes_minus_MMRL,delta_rejected_error_rate_Bayes_minus_MMRL
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,0.7,0.11623274100304026,0.10743443597649838,0.8429817605075337,0.8638646576790907,0.4281938325991189,0.38678414096916297,0.959214501510574,0.9712990936555891,0.04078549848942598,0.028700906344410877,-0.020882897171557002,-0.012084592145015116,0.008798305026541886,0.012084592145015106,0.04140969162995595
case_B__VS__case_A,main,主分支,predictive_entropy,预测熵,0.6,0.13763497958057203,0.12115736875262739,0.8429817605075337,0.8638646576790907,0.3635161929940516,0.317911434236616,0.9806167400881057,0.9850220264317181,0.019383259911894272,0.014977973568281937,-0.020882897171557002,-0.004405286343612369,0.016477610827944633,0.004405286343612334,0.04560475875743558
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,1.0,0.0,0.0,0.8400740153317473,0.8236849061591329,,,0.8400740153317473,0.8236849061591329,0.1599259846682527,0.17631509384086705,0.01638910917261438,0.01638910917261438,0.0,-0.016389109172614352,
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,0.98,0.01128827223232065,0.012840586152709554,0.8400740153317473,0.8236849061591329,0.7105263157894737,0.8026315789473685,0.851362287564068,0.8365254923118425,0.14863771243593202,0.16347450768815755,0.01638910917261438,0.014836795252225476,-0.0015523139203889036,-0.014836795252225532,-0.0921052631578948
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,0.95,0.027204782664913774,0.02801236707403343,0.8400740153317473,0.8236849061591329,0.6772486772486772,0.708994708994709,0.8672787979966611,0.8516972732331664,0.1327212020033389,0.14830272676683362,0.01638910917261438,0.015581524763494725,-0.0008075844091196549,-0.015581524763494725,-0.031746031746031744
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,0.9,0.04920645456546269,0.05149864743851762,0.8400740153317473,0.8236849061591329,0.6031746031746031,0.6402116402116402,0.88928046989721,0.8751835535976505,0.11071953010279001,0.12481644640234948,0.01638910917261438,0.014096916299559448,-0.0022921928730549324,-0.014096916299559475,-0.03703703703703709
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,0.85,0.0709956364095462,0.0746359893632551,0.8400740153317473,0.8236849061591329,0.562610229276896,0.599647266313933,0.9110696517412935,0.898320895522388,0.08893034825870647,0.10167910447761194,0.01638910917261438,0.012748756218905477,-0.003640352953708903,-0.012748756218905477,-0.03703703703703698
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,0.8,0.08887509240123348,0.09402824651766817,0.8400740153317473,0.8236849061591329,0.5151915455746368,0.5521796565389696,0.9289491077329808,0.9177131526768011,0.07105089226701916,0.08228684732319894,0.01638910917261438,0.011235955056179692,-0.005153154116434688,-0.011235955056179775,-0.036988110964332854
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,0.7,0.11800755566523158,0.1291096557744018,0.8400740153317473,0.8236849061591329,0.4352422907488987,0.4775330396475771,0.9580815709969789,0.9527945619335347,0.041918429003021146,0.04720543806646526,0.01638910917261438,0.005287009063444148,-0.011102100109170232,-0.005287009063444113,-0.0422907488986784
case_B__VS__case_A,rep,表示增强分支,one_minus_confidence,低置信度,0.6,0.13217268070349497,0.1476807326073869,0.8400740153317473,0.8236849061591329,0.3582286847323199,0.39788499669530736,0.9722466960352423,0.9713656387665198,0.027753303964757708,0.028634361233480177,0.01638910917261438,0.0008810572687224516,-0.015508051903891928,-0.000881057268722469,-0.03965631196298747
