pair_name,true_class,pred_class,MMRL_count,Bayes_count,delta,Bayes_conf,Bayes_MI
case_B__VS__case_A,67,44,5,5,0,0.7559206485748291,0.055434178560972214
case_B__VS__case_A,67,67,29,25,-4,0.849915087223053,0.037121906876564026
case_B__VS__case_A,67,85,4,6,2,0.7308433651924133,0.0860813781619072
case_B__VS__case_A,68,4,0,2,2,0.5671707391738892,0.14845210313796997
case_B__VS__case_A,68,17,0,1,1,0.5529398918151855,0.1640465259552002
case_B__VS__case_A,68,29,0,1,1,0.34653177857398987,0.16698169708251953
case_B__VS__case_A,68,45,1,1,0,0.7798150777816772,0.11090916395187378
case_B__VS__case_A,68,56,5,0,-5,,
case_B__VS__case_A,68,59,0,1,1,0.4414088726043701,0.1866605281829834
case_B__VS__case_A,68,68,29,29,0,0.9021157622337341,0.04178062081336975
case_B__VS__case_A,69,17,1,0,-1,,
case_B__VS__case_A,69,56,0,1,1,0.5484340190887451,0.12787866592407227
case_B__VS__case_A,69,69,27,26,-1,0.8500182032585144,0.04722173511981964
case_B__VS__case_A,69,98,0,1,1,0.44145694375038147,0.14842522144317627
case_B__VS__case_A,70,16,4,4,0,0.8753621578216553,0.033557213842868805
case_B__VS__case_A,70,70,35,35,0,0.965654194355011,0.01021119300276041
case_B__VS__case_A,71,14,0,1,1,0.33220237493515015,0.15383803844451904
case_B__VS__case_A,71,71,30,28,-2,0.9342164993286133,0.013256520964205265
case_B__VS__case_A,71,76,0,1,1,0.315021276473999,0.15955603122711182
case_B__VS__case_A,72,48,4,5,1,0.8538838624954224,0.019707685336470604
case_B__VS__case_A,72,72,24,22,-2,0.9908398985862732,0.0010949912248179317
case_B__VS__case_A,72,81,0,1,1,0.5672385692596436,0.1032363772392273
case_B__VS__case_A,73,73,41,41,0,0.9745367169380188,0.013253092765808105
case_B__VS__case_A,74,17,1,1,0,0.5052152872085571,0.2660476565361023
case_B__VS__case_A,74,56,1,1,0,0.26966673135757446,0.19913220405578613
case_B__VS__case_A,74,74,31,28,-3,0.7992796301841736,0.07714974135160446
case_B__VS__case_A,74,85,0,2,2,0.6346943974494934,0.1291992962360382
case_B__VS__case_A,74,98,1,2,1,0.385746568441391,0.2517279386520386
case_B__VS__case_A,75,75,35,36,1,0.9812607169151306,0.006753685884177685
case_B__VS__case_A,75,81,1,0,-1,,
case_B__VS__case_A,76,57,0,1,1,0.5909445285797119,0.10896867513656616
case_B__VS__case_A,76,76,43,42,-1,0.9682594537734985,0.011726697906851768
case_B__VS__case_A,77,38,1,3,2,0.6828221678733826,0.05206298828125
case_B__VS__case_A,77,77,42,40,-2,0.9551973342895508,0.010793020948767662
case_B__VS__case_A,78,6,4,4,0,0.6409487724304199,0.128376767039299
