pair_name,model_label,method,eval_mode,branch,branch_cn,score,score_cn,score_family,coverage,n_total,n_keep,n_reject,full_accuracy,retained_accuracy,accuracy_gain_vs_full,full_error_rate,retained_error_rate,rejected_error_rate
case_B__VS__case_A,BayesMMRL,BayesMMRL,mc_prob_mean_probs,main,主分支,logit_variance,类别打分方差,Bayes采样分数,0.6,3783,2270,1513,0.8429817605075337,0.8594713656387665,0.016489605131232765,0.1570182394924663,0.14052863436123347,0.1817580964970258
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,1.0,3783,3783,0,0.8236849061591329,0.8236849061591329,0.0,0.17631509384086705,0.17631509384086705,
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,0.98,3783,3707,76,0.8236849061591329,0.8365254923118425,0.012840586152709554,0.17631509384086705,0.16347450768815755,0.8026315789473685
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,0.95,3783,3594,189,0.8236849061591329,0.8516972732331664,0.02801236707403343,0.17631509384086705,0.14830272676683362,0.708994708994709
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,0.9,3783,3405,378,0.8236849061591329,0.8751835535976505,0.05149864743851762,0.17631509384086705,0.12481644640234948,0.6402116402116402
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,0.85,3783,3216,567,0.8236849061591329,0.898320895522388,0.0746359893632551,0.17631509384086705,0.10167910447761194,0.599647266313933
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,0.8,3783,3026,757,0.8236849061591329,0.9177131526768011,0.09402824651766817,0.17631509384086705,0.08228684732319894,0.5521796565389696
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,0.7,3783,2648,1135,0.8236849061591329,0.9527945619335347,0.1291096557744018,0.17631509384086705,0.04720543806646526,0.4775330396475771
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_confidence,低置信度,普通概率分数,0.6,3783,2270,1513,0.8236849061591329,0.9713656387665198,0.1476807326073869,0.17631509384086705,0.028634361233480177,0.39788499669530736
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,predictive_entropy,预测熵,普通概率分数,1.0,3783,3783,0,0.8236849061591329,0.8236849061591329,0.0,0.17631509384086705,0.17631509384086705,
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,predictive_entropy,预测熵,普通概率分数,0.98,3783,3707,76,0.8236849061591329,0.8362557323981656,0.012570826239032717,0.17631509384086705,0.16374426760183436,0.7894736842105263
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,predictive_entropy,预测熵,普通概率分数,0.95,3783,3594,189,0.8236849061591329,0.8519755147468002,0.0282906085876673,0.17631509384086705,0.14802448525319978,0.7142857142857143
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,predictive_entropy,预测熵,普通概率分数,0.9,3783,3405,378,0.8236849061591329,0.8795888399412628,0.05590393378212988,0.17631509384086705,0.12041116005873716,0.6798941798941799
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,predictive_entropy,预测熵,普通概率分数,0.85,3783,3216,567,0.8236849061591329,0.902363184079602,0.07867827792046911,0.17631509384086705,0.09763681592039801,0.6225749559082893
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,predictive_entropy,预测熵,普通概率分数,0.8,3783,3026,757,0.8236849061591329,0.9206873760740251,0.09700246991489214,0.17631509384086705,0.07931262392597488,0.5640686922060766
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,predictive_entropy,预测熵,普通概率分数,0.7,3783,2648,1135,0.8236849061591329,0.9531722054380665,0.12948729927893354,0.17631509384086705,0.04682779456193353,0.47841409691629955
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,predictive_entropy,预测熵,普通概率分数,0.6,3783,2270,1513,0.8236849061591329,0.9722466960352423,0.14856178987610935,0.17631509384086705,0.027753303964757708,0.39920687376074027
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_probability_margin,低决策间隔,普通概率分数,1.0,3783,3783,0,0.8236849061591329,0.8236849061591329,0.0,0.17631509384086705,0.17631509384086705,
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.98,3783,3707,76,0.8236849061591329,0.8354464526571351,0.011761546498002207,0.17631509384086705,0.16455354734286484,0.75
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.95,3783,3594,189,0.8236849061591329,0.8491930996104619,0.02550819345132893,0.17631509384086705,0.15080690038953812,0.6613756613756614
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.9,3783,3405,378,0.8236849061591329,0.872834067547724,0.049149161388591045,0.17631509384086705,0.12716593245227606,0.6190476190476191
case_B__VS__case_A,MMRL,MMRL,standard,rep,表示增强分支,one_minus_probability_margin,低决策间隔,普通概率分数,0.85,3783,3216,567,0.8236849061591329,0.8958333333333334,0.07214842717420045,0.17631509384086705,0.10416666666666667,0.5855379188712522
