pair_name,class_or_text_index,text_cosine,text_angle_deg,text_shift_norm
case_B__VS__case_A,265,0.9735466241836548,13.208096644064533,0.2300148904323578
case_B__VS__case_A,266,0.9637441039085388,15.475614631881298,0.26928043365478516
case_B__VS__case_A,267,0.9580443501472473,16.655708002487984,0.2896747589111328
case_B__VS__case_A,268,0.9735745191574097,13.201099878152469,0.22989365458488464
case_B__VS__case_A,269,0.9498941898345947,18.214277802545713,0.3165617883205414
case_B__VS__case_A,270,0.8955129384994507,26.42560868179546,0.4571368396282196
case_B__VS__case_A,271,0.9534465670585632,17.551445031833584,0.30513402819633484
case_B__VS__case_A,272,0.9549520611763,17.263111122379282,0.3001602590084076
case_B__VS__case_A,273,0.9467512369155884,18.781861059075656,0.3263396918773651
case_B__VS__case_A,274,0.9596229195594788,16.337188545625636,0.2841731905937195
case_B__VS__case_A,275,0.964324414730072,15.350511621809645,0.2671167552471161
case_B__VS__case_A,276,0.9528142809867859,17.671181803503845,0.3071994185447693
case_B__VS__case_A,277,0.9642173647880554,15.373664095447834,0.2675169110298157
case_B__VS__case_A,278,0.9192328453063965,23.185814407664047,0.4019133746623993
case_B__VS__case_A,279,0.971066415309906,13.816291659389615,0.24055643379688263
case_B__VS__case_A,280,0.9404677152633667,19.86974800922635,0.34505754709243774
case_B__VS__case_A,281,0.961299479007721,15.992144286492527,0.2782106101512909
case_B__VS__case_A,282,0.9678788781166077,14.561375191746977,0.25346067547798157
case_B__VS__case_A,283,0.9190013408660889,23.219481294058703,0.4024888575077057
case_B__VS__case_A,284,0.9363359212875366,20.554944761860522,0.3568305969238281
case_B__VS__case_A,285,0.9528971910476685,17.655525818488073,0.30692946910858154
case_B__VS__case_A,286,0.9454137086868286,19.01844659504656,0.3304128348827362
case_B__VS__case_A,287,0.8948218822479248,26.51443970314005,0.45864614844322205
case_B__VS__case_A,288,0.929165780544281,21.694853366901118,0.3763883709907532
case_B__VS__case_A,289,0.9632898569107056,15.572856671145335,0.270961731672287
case_B__VS__case_A,290,0.9540186524391174,17.44242270143299,0.30325329303741455
case_B__VS__case_A,291,0.9562875628471375,17.003368993106392,0.29567691683769226
case_B__VS__case_A,292,0.9471912980079651,18.703391515133838,0.32498782873153687
case_B__VS__case_A,293,0.951869785785675,17.848593369124035,0.31025901436805725
case_B__VS__case_A,294,0.9462135434150696,18.87731308953873,0.32798317074775696
case_B__VS__case_A,295,0.9226289391517639,22.68650767501445,0.393373042345047
case_B__VS__case_A,296,0.9708769917488098,13.861665572188285,0.24134209752082825
case_B__VS__case_A,297,0.8930695056915283,26.738469472283747,0.462451308965683
case_B__VS__case_A,298,0.9469953179359436,18.738376850560428,0.3255912959575653
case_B__VS__case_A,299,0.955028772354126,17.248294251032064,0.2999039590358734
case_B__VS__case_A,300,0.9250915050506592,22.317842785397552,0.38706183433532715
case_B__VS__case_A,301,0.9602469205856323,16.209601273289053,0.28196874260902405
case_B__VS__case_A,302,0.9131595492362976,24.054303976012918,0.41675040125846863
case_B__VS__case_A,303,0.9583799242973328,16.588494419757225,0.28851401805877686
case_B__VS__case_A,304,0.9631113409996033,15.61091039521291,0.27162036299705505
case_B__VS__case_A,305,0.967387855052948,14.67285770746496,0.2553909420967102
case_B__VS__case_A,306,0.9484398365020752,18.479009623213503,0.3211233913898468
case_B__VS__case_A,307,0.9279572367668152,21.881407952276838,0.37958618998527527
case_B__VS__case_A,308,0.9555378556251526,17.14964960032182,0.29820188879966736
case_B__VS__case_A,309,0.9435738325119019,19.339333303537252,0.33593523502349854
case_B__VS__case_A,310,0.964120626449585,15.394557174010174,0.2678784728050232
case_B__VS__case_A,311,0.9483372569084167,18.497543779950572,0.32144343852996826
case_B__VS__case_A,312,0.9460717439651489,18.902408102291826,0.3284153938293457
case_B__VS__case_A,313,0.9651045203208923,15.180751952696745,0.26417961716651917
case_B__VS__case_A,314,0.9498087167739868,18.229938892622936,0.3168322443962097
case_B__VS__case_A,315,0.9492140412330627,18.33854266694505,0.3187035918235779
case_B__VS__case_A,316,0.9508517384529114,18.037929844804477,0.3135227859020233
case_B__VS__case_A,317,0.9279577136039734,21.881334644586637,0.37958523631095886
case_B__VS__case_A,318,0.958874523639679,16.4889435965372,0.2867947518825531
case_B__VS__case_A,319,0.9441353678703308,19.241943812744505,0.334259033203125
case_B__VS__case_A,320,0.8931892514228821,26.72321618764198,0.4621925354003906
case_B__VS__case_A,321,0.9595438838005066,16.353279602007998,0.2844507098197937
case_B__VS__case_A,322,0.9614425301551819,15.962367516962939,0.27769625186920166
case_B__VS__case_A,323,0.9353153109550476,20.72085454042323,0.3596799075603485
case_B__VS__case_A,324,0.963204562664032,15.591049900318447,0.27127641439437866
case_B__VS__case_A,325,0.9213125109672546,22.881277376777472,0.39670512080192566
