case_name,method,dataset,shots,seed,split,class_id,count,PM_logits_acc,MC_logits_MI,PM_logits_conf,PM_rep_acc,MC_rep_MI,PM_rep_conf,PM_fusion_acc,MC_fusion_MI,PM_fusion_conf
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,43,10,0.9,0.01043937811627984,0.9349081754684448,0.9,0.008572140147225581,0.9504879057407379,0.9,0.004627447866369039,0.9728572130203247
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,44,15,1.0,0.001293644440981249,0.9811526656150817,1.0,0.00039208804131097473,0.9973809957504273,1.0,0.000586816497767965,0.9935234308242797
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,45,29,0.9655172413793104,0.0014561558431335565,0.971504473480685,1.0,0.0015226087004427018,0.992628983382521,0.9655172413793104,0.0014157877775342685,0.9739606257142692
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,46,30,0.9666666666666667,0.0188777310361426,0.9407177696625392,0.9666666666666667,0.0099480101763915,0.981617538134257,0.9666666666666667,0.010928836695878392,0.9693856815497081
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,47,13,1.0,0.0009612282200788076,0.9839852406428411,0.9230769230769231,0.0032218534299597824,0.9689705005058875,1.0,0.000741609766219671,0.9871672116793119
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,48,16,1.0,0.0034322743777011055,0.957099299877882,0.875,0.0029157421267882455,0.9918669983744621,0.875,0.002762001930932456,0.956944189965725
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,49,26,1.0,0.0024222298995412598,0.9865053662886987,1.0,0.007757297593063693,0.9704678459809377,1.0,0.003048256241107503,0.9880299270153046
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,50,24,1.0,0.0009995812870329246,0.9760865569114685,0.875,0.00341310928843086,0.9666271731257439,1.0,0.0007865135855051145,0.965461735924085
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,51,9,1.0,4.824311165268429e-06,0.9999692307578193,1.0,1.7643409238290687e-06,0.9999953243467543,1.0,1.701558378246975e-06,0.9999895228279961
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,52,19,0.9473684210526315,0.0028158341914317326,0.9579509167294753,0.9473684210526315,0.004262869372225671,0.9892362230702451,0.9473684210526315,0.004466835602215724,0.9581081035890078
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,53,26,1.0,0.002518014364446012,0.9760732398583338,1.0,0.0017571697653168555,0.9960806094683133,1.0,0.0007774140685796738,0.9963310636006869
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,54,34,0.8235294117647058,0.015012285726911882,0.8558156770818374,0.7647058823529411,0.01845163689337342,0.9261227740960962,0.7941176470588235,0.010341607801177922,0.8811194773982552
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,55,19,0.8421052631578947,0.004248924879663575,0.946502823578684,0.8421052631578947,0.012623117586420114,0.923530870362332,0.8947368421052632,0.005827063328500739,0.9407516137549752
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,56,25,1.0,0.00014495627721771597,0.9984410190582276,1.0,9.151608392130583e-06,0.9998231816291809,1.0,2.1656046155840157e-05,0.9996372485160827
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,57,23,1.0,0.00536836004998211,0.9465528415597003,0.9130434782608695,0.0050213849781753,0.9509359423233115,1.0,0.0038687007238521524,0.960755599581677
BayesMMRL_caltech101_16shot_seed1,BayesMMRL,caltech101,16,1,test,58,13,0.6923076923076923,0.015267029404640198,0.8678841820129981,0.7692307692307693,0.026272344654269267,0.9000193384977487,0.7692307692307693,0.012712071004968423,0.8966323779179499
