dataset,shots,seed,split,label,count,MMRL_acc,Bayes_PM_acc,Bayes_MC_prob_acc,harmful_flip,beneficial_flip,Bayes_MI,Bayes_conf,delta_acc_PM
caltech101,16,1,test,77,12,1.0,1.0,1.0,0,0,6.549602039740421e-05,0.9976549446582794,0.0
caltech101,16,1,test,78,18,0.8333333333333334,0.7222222222222222,0.7777777777777778,2,0,0.024329700817664463,0.8030989335642921,-0.11111111111111116
caltech101,16,1,test,79,11,0.9090909090909091,0.9090909090909091,0.9090909090909091,0,0,0.006296969722660089,0.9564035914160989,0.0
caltech101,16,1,test,80,25,0.88,0.92,0.88,0,1,0.0202885061618872,0.914555218219757,0.040000000000000036
caltech101,16,1,test,81,18,1.0,0.9444444444444444,0.9444444444444444,1,0,0.003757038812182145,0.9803597629070282,-0.05555555555555558
caltech101,16,1,test,82,10,1.0,1.0,1.0,0,0,3.2974040368571875e-05,0.999499362707138,0.0
caltech101,16,1,test,83,19,1.0,1.0,1.0,0,0,1.3903118853800392e-05,0.9995589068061427,0.0
caltech101,16,1,test,84,14,1.0,1.0,1.0,0,0,0.001600294463319837,0.989584356546402,0.0
caltech101,16,1,test,85,26,1.0,1.0,1.0,0,0,7.890491682561472e-05,0.9993538994055527,0.0
caltech101,16,1,test,86,17,0.9411764705882353,0.9411764705882353,0.9411764705882353,0,0,0.0020201758974615265,0.9803979116327622,0.0
caltech101,16,1,test,87,19,1.0,1.0,1.0,0,0,6.742477891844158e-06,0.999804299128683,0.0
caltech101,16,1,test,88,10,1.0,1.0,1.0,0,0,4.541336675174534e-05,0.9990678548812866,0.0
caltech101,16,1,test,89,26,1.0,1.0,1.0,0,0,2.3309921044319008e-06,0.9999501498845907,0.0
caltech101,16,1,test,90,15,1.0,1.0,1.0,0,0,0.000528798882078263,0.9995606621106465,0.0
caltech101,16,1,test,91,26,1.0,1.0,1.0,0,0,0.003368541256559883,0.9906339461986835,0.0
caltech101,16,1,test,92,22,1.0,1.0,1.0,0,0,0.0001285563901712356,0.9986126775091345,0.0
caltech101,16,1,test,93,71,1.0,1.0,1.0,0,0,0.000990880156037542,0.9946613916209046,0.0
caltech101,16,1,test,94,12,0.6666666666666666,0.5833333333333334,0.75,1,0,0.02987457811832428,0.7524447391430537,-0.08333333333333326
caltech101,16,1,test,95,17,1.0,1.0,1.0,0,0,0.0002646524893969078,0.998050381155575,0.0
caltech101,16,1,test,96,10,0.8,0.8,0.8,0,0,0.0023227610625326635,0.9808708786964416,0.0
caltech101,16,1,test,97,17,1.0,1.0,1.0,0,0,0.006153909160810358,0.9622685453471016,0.0
caltech101,16,1,test,98,11,1.0,0.9090909090909091,0.9090909090909091,1,0,0.004384582684989172,0.9368461966514587,-0.09090909090909094
caltech101,16,1,test,99,18,1.0,1.0,1.0,0,0,8.672998875327823e-06,0.9998801449934641,0.0
